Apple Inc.
US 8,204,117February 1, 2014 AVC Attachment 1 Page 8 of 75
US 8,213,514
US 8,218,628
US 8,218,630
US 8,218,631
US 8,243,788
US 8,249,110
US 8,249,111
US 8,249,112
US 8,254,460
US 8,275,044
US 8,325,806
US 8,335,253
US 8,340,135
US 8,379,672
US 8,379,719
US 8,509,306
US 8,532,186
US 8,565,304
US 8,625,638
Fujitsu Limited
CA 2,439,886
CA 2,591,685
CN 03156610.3
CN 101043630
CN 200510130221.1
CN 200510130222.6
CN 200710103417.0
CN 200710103418.5
CN 200710103419.X
DE 60336880.8
DE 60339796
DE 60339797
DE 60344923.9
DE 60345266.3
DE 60345267.1
DE 60345269.8
DE 60345305.8
FI 1,406,448
FI 1,835,751
FI 1,835,753
FI 1,835,754
FI 1,835,755
FI 1,835,757
FI 1,835,758
FI 1,835,759
FR 1,406,448
FR 1,835,751
FR 1,835,753
FR 1,835,754February 1, 2014 AVC Attachment 1 Page 9 of 75
FR 1,835,755
FR 1,835,757
FR 1,835,758
FR 1,835,759
GB 1,406,448
GB 1,835,751
GB 1,835,753
GB 1,835,754
GB 1,835,755
GB 1,835,757
GB 1,835,758
GB 1,835,759
JP 3,791,922
JP 3,946,721
JP 3,946,758
JP 3,946,759
JP 4,142,180
JP 4,184,388
JP 4,184,389
KR 788,567
KR 788,569
KR 788,570
KR 908,955
NL 1,406,448
NL 1,835,751
NL 1,835,753
NL 1,835,754
NL 1,835,755
NL 1,835,757
NL 1,835,758
NL 1,835,759
SE 1,406,448
SE 1,835,751
SE 1,835,753
SE 1,835,754
SE 1,835,755
SE 1,835,757
SE 1,835,758
SE 1,835,759
US 7,272,182
US 7,310,372
US 7,809,062
US 7,826,532
US 7,924,924
US 8,068,542
US 8,184,708
US 8,340,184
US 8,345,759
US 8,428,138
US 8,509,307
US 8,553,780February 1, 2014 AVC Attachment 1 Page 10 of 75
Hewlett-Packard Company
US 6,741,746
Hitachi Maxell, Ltd.3
CN 03805041.2
CN 200710092132.1
CN 200710092133.6
CN 200710092134.0
JP 4,363,326
JP 4,363,484
JP 4,895,995
JP 5,017,086
JP 5,017,087
JP 5,017,464
US 7,936,822
US 7,936,823
US 7,970,058
US 8,036,272
US 8,320,459
US 8,325,816
US 8,340,190
US 8,571,107
US 8,571,108
Koninklijke Philips N.V.4
CN 100375520
CN 100380983
US 5,606,539 - Expires February 24, 2014
US 5,740,310
US 6,909,450
US 7,421,138
LG Electronics Inc.
AT 1,603,344
AT 1,796,396
AT 1,809,048
AT 1,821,547
AT 2,003,899
AT 2,003,900
AT 2,009,927
AT 2,009,928
AT 2,015,585
AT 354,259
AU 2004217197
AU 2005203096
BE 1,406,453February 1, 2014 AVC Attachment 1 Page 11 of 75
BE 1,603,344
BE 1,796,396
BE 1,809,048
BE 1,821,547
BE 2,003,899
BE 2,003,900
BE 2,009,927
BE 2,009,928
BE 2,015,585
BG 1,406,453
BG 1,603,344
BG 1,796,396
BG 1,809,048
BG 1,821,547
BG 2,003,899
BG 2,003,900
BG 2,009,927
BG 2,009,928
BG 2,015,585
CA 2,512,671
CA 2,522,835
CH 1,406,453
CH 1,603,344
CH 1,796,396
CH 1,809,048
CH 1,821,547
CH 2,003,899
CH 2,003,900
CH 2,009,927
CH 2,009,928
CH 2,015,585
CN 03101444.5
CN 03101620.0
CN 03101623.5
CN 03101657.X
CN 200410104547.2
CN 200480002888.7
CN 200510048853.3
CN 200510048854.8
CN 200510055870.X
CN 200510055871.4
CN 200510107088.8
CN 200510116128.5
CN 200510116129.X
CN 200610073660.8
CN 200910137915.6
CN 200910137918.X
CY 1,406,453
CY 1,603,344
CY 1,796,396
CY 1,809,048February 1, 2014 AVC Attachment 1 Page 12 of 75
CY 1,821,547
CY 2,003,899
CY 2,003,900
CY 2,009,927
CY 2,009,928
CY 2,015,585
CZ 1,406,453
CZ 1,603,344
CZ 1,796,396
CZ 1,809,048
CZ 1,821,547
CZ 2,003,899
CZ 2,003,900
CZ 2,009,927
CZ 2,009,928
CZ 2,015,585
DE 1,603,344
DE 1,796,396
DE 1,821,547
DE 103 62 263
DE 103 62 270
DE 103 62 271
DE 103 62 272
DE 103 62 288
DE 103 62 289
DE 103 62 291
DE 103 62 292
DE 103 62 294
DE 103 62 295
DE 10300528.5
DE 10300529.3
DE 10300533
DE 10300692.3
DE 10362106.7
DE 10362222
DE 10362293
DE 10362305
DE 10362309.4
DE 10362310.8
DE 60311720.1
DE 60334330
DE 60334336
DE 60334337
DE 60334338
DE 60334339
DE 60334505
DK 1,406,453
DK 1,603,344
DK 1,796,396
DK 1,809,048
DK 1,821,547February 1, 2014 AVC Attachment 1 Page 13 of 75
DK 2,003,899
DK 2,003,900
DK 2,009,927
DK 2,009,928
DK 2,015,585
EE 1,603,344
EE 1,796,396
EE 1,809,048
EE 1,821,547
EE 2,003,899
EE 2,003,900
EE 2,009,927
EE 2,009,928
EE 2,015,585
EE E001131
ES 1,359,767
ES 1,406,453
ES 1,603,344
ES 1,796,396
ES 1,809,048
ES 1,821,547
ES 2,003,899
ES 2,003,900
ES 2,009,927
ES 2,009,928
ES 2,015,585
ES 2,202,987
ES 2385192
FI 1,359,769
FI 1,406,453
FI 1,601,209
FI 1,603,344
FI 1,679,904
FI 1,796,396
FI 1,809,048
FI 1,821,547
FI 1,876,831
FI 1,876,832
FI 1,876,833
FI 1,876,834
FI 1,876,835
FI 1,876,836
FI 1,876,837
FI 1,876,838
FI 2,003,899
FI 2,003,900
FI 2,009,927
FI 2,009,928
FI 2,015,585
FR 1,359,767
FR 1,359,769February 1, 2014 AVC Attachment 1 Page 14 of 75
FR 1,383,338
FR 1,406,453
FR 1,601,209
FR 1,603,344
FR 1,672,931
FR 1,679,904
FR 1,796,396
FR 1,809,048
FR 1,821,547
FR 1,876,831
FR 1,876,832
FR 1,876,833
FR 1,876,834
FR 1,876,835
FR 1,876,836
FR 1,876,837
FR 1,876,838
FR 2,003,899
FR 2,003,900
FR 2,009,927
FR 2,009,928
FR 2,015,585
FR 2,202,987
FR 2205000
GB 2 391 126
GB 2 416 456
GB 2,003,899
GB 2,003,900
GB 2,009,927
GB 2,009,928
GB 2,015,585
GB 2,387,498
GB 2,388,267
GB 2,393,873
GB 2,405,549
GB 2,406,459
GB 2,406,460
GB 2,408,889
GB 2,412,032 
GB 2,415,569
GB 2,416,455
GB 2,422,263
GB 2,427,779
GB 2,430,325
GB 2,436,981
GR 1,603,344
GR 1,796,396
GR 1,809,048
GR 1,821,547
GR 2,003,899
GR 2,003,900February 1, 2014 AVC Attachment 1 Page 15 of 75
GR 2,009,927
GR 2,009,928
GR 2,015,585
GR 3,060,991
HK 1,073,043
HK 1,073,555
HK 1,073,556
HK 1,073,557
HK 1,079,647
HK 1,086,416
HK 1,091,634 
HK 1096518
HU 1,406,453
HU 1,603,344
HU 1,796,396
HU 1,809,048
HU 1,821,547
HU 2,003,899
HU 2,003,900
HU 2,009,927
HU 2,009,928
HU 2,015,585
HU 2,202,987
HU 2205000
HU E002547
ID P0023393
IE 1,406,453
IE 1,603,344
IE 1,796,396
IE 1,809,048
IE 1,821,547
IE 2,003,899
IE 2,003,900
IE 2,009,927
IE 2,009,928
IE 2,015,585
IN 208,932
IN 236,121
IT 1,359,767
IT 1,359,769
IT 1,406,453
IT 1,601,209
IT 1,603,344
IT 1,679,904
IT 1,796,396
IT 1,809,048
IT 1,821,547
IT 1,876,831
IT 1,876,832
IT 1,876,833
IT 1,876,834February 1, 2014 AVC Attachment 1 Page 16 of 75
IT 1,876,835
IT 1,876,837
IT 1,876,838
IT 2,003,899
IT 2,003,900
IT 2,009,927
IT 2,009,928
IT 2,015,585
IT 2,202,987
IT 2205000
IT 70651/BE/2012
JP 3,958,690
JP 4,020,789
JP 4,216,852
JP 4,435,480
JP 4,495,087
JP 4,567,551
JP 4,567,669
JP 4,625,100
JP 4,625,101
JP 4,625,102
JP 4,625,103
JP 4,625,104
JP 4,625,131
JP 4,625,132
JP 4,709,241
JP 4,709,242
JP 4,709,291
JP 4,709,292
JP 4,763,739
JP 4,796,176
JP 4,865,753
JP 4,865,754
JP 4,865,755
JP 4,865,756
KR 237,636
KR 251,549
KR 491,530
KR 494,828
KR 494,829
KR 494,830
KR 494,831
KR 505,319
KR 505,320
KR 506,864
KR 506,865
KR 506,866
KR 507,917
KR 508,798
KR 508,799
KR 508,800February 1, 2014 AVC Attachment 1 Page 17 of 75
KR 523,551
KR 525,785
KR 602,149
KR 617,598
KR 619,716
KR 626,234
KR 626,235
KR 640,937
KR 655,546
KR 674,027
KR 687,845
KR 693,669
KR 693,670
KR 693,671
KR 721,022
KR 748,512
KR 757,829
KR 757,830
KR 757,831
KR 757,832
KR 850,947
KR 857,383
KR 857,384
KR 857,385
KR 864,790
KR 864,791
KR 865,034
KR 865,039
KR 881,554
KR 881,555
KR 881,556
KR 881,557
KR 881,558
KR 881,560
KR 881,563
KR 881,565
KR 881,566
KR 881,567
KR 881,568
KR 881,569
KR 881,570
KR 881,571
KR 883,025
KR 886,192
KR 890,504
KR 890,505
KR 890,506
KR 890,509
KR 890,510
KR 890,513
KR 890,514February 1, 2014 AVC Attachment 1 Page 18 of 75
KR 890,518
KR 901,642
KR 901,643
KR 907,173
KR 943,627
KR 985,240
KR 985,263
KR 985,268
KR 985,340
KR 985,379
LI 1,406,453
LI 1,603,344
LI 1,796,396
LI 1,809,048
LI 1,821,547
LI 2,003,899
LI 2,003,900
LI 2,009,927
LI 2,009,928
LI 2,015,585
LU 1,406,453
LU 1,603,344
LU 1,796,396
LU 1,809,048
LU 1,821,547
LU 2,003,899
LU 2,003,900
LU 2,009,927
LU 2,009,928
LU 2,015,585
MC 1,406,453
MC 1,603,344
MC 1,796,396
MC 1,809,048
MC 1,821,547
MC 2,003,899
MC 2,003,900
MC 2,009,927
MC 2,009,928
MC 2,015,585
MX 258,058
MX 262,980
NL 1,022,331
NL 1,022,332
NL 1,022,333
NL 1,029,485
NL 1,029,486
NL 1,406,453
NL 1,603,344
NL 1,796,396
NL 1,809,048February 1, 2014 AVC Attachment 1 Page 19 of 75
NL 1,821,547
NL 1028855
NL 1028856
NL 1029057
NL 2,003,899
NL 2,003,900
NL 2,009,927
NL 2,009,928
NL 2,015,585
PT 1,406,453
PT 1,603,344
PT 1,796,396
PT 1,809,048
PT 1,821,547
PT 2,003,899
PT 2,003,900
PT 2,009,927
PT 2,009,928
PT 2,015,585
RU 2,264,049
